Category,Thumbnail,Title,Description,Brand,Stars,Reviews,Price,URL
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/61SuPkDGYfL._AC_UL600_SR600,400_.jpg",Crocs Unisex-Adult Classic Clog,"It’s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you're sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort , a color for every personality, and an ongoing invitation to be comfortab",Crocs Store,4.8,297798,$34.99,https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/dp/B0014C2NBC/ref=zg_bs_g_7147440011_d_sccl_18/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/71PHQkYff+L._AC_UL600_SR600,400_.jpg",Amazon Essentials Womens Cotton Bikini Brief Underwear (Available in Plus Size),"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting—at affordable prices for the whole family.",Amazon Essentials Store,4.4,154426,$11.40,https://www.amazon.com/Amazon-Essentials-Womens-Cotton-Stretch/dp/B06XKSR4R1/ref=zg_bs_g_7147440011_d_sccl_23/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/51cdEiDUIPL._AC_UL600_SR600,400_.jpg",Amazon Essentials Women's Regular-Fit Short-Sleeve Crewneck T-Shirt,"OEKO-TEX® STANDARD 100 certified products require every component of a textiles production including all thread, buttons, and trims to be tested against a list of more than 1,000 regulated and unregulated chemicals which may be harmful to human health. The assessment process is globally standardised",Amazon Essentials Store,4.4,107462,$12.40,https://www.amazon.com/Amazon-Essentials-Short-Sleeve-Crewneck-T-Shirt/dp/B077572G6T/ref=zg_bs_g_7147440011_d_sccl_3/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/614rbIVRUJL._AC_UL600_SR600,400_.jpg","Gildan Ultra Cotton T-Shirt, Style G2000, Multipack","Whether wearing it for work or play, the Gildan Ultra Cotton Adult T-Shirt is a wardrobe basic that works for just about any occasion. It features a classic fit and a heavyweight fabric with taped neck and shoulders for comfort and durability. You can decorate using screen printing, DTG, heat transf",Gildan Store,4.5,107326,$7.94,https://www.amazon.com/Gildan-Cotton-T-Shirt-2-Pack-Medium/dp/B07612754Q/ref=zg_bs_g_7147440011_d_sccl_12/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/71eItfN9nBL._AC_UL600_SR600,400_.jpg","Hanes Women's Sweatpants, EcoSmart Fleece Pants, Pocketless Open-Bottom Sweatpant, Regular & Petite","Hanes® EcoSmart® open-bottom women's sweatpants are your new go-to wardrobe staple for warming up, cooling down, running errands, or just kicking back. Crafted from midweight cotton/poly fleece that features cotton sourced from American farms, these comfy women's sweats keep you cozy and transition ",Hanes Store,4.0,102882,$14.24,https://www.amazon.com/Hanes-Womens-Petite-Length-Middle-Sweatpants/dp/B0169P9C58/ref=zg_bs_g_7147440011_d_sccl_2/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/81MYiDytEcL._AC_UL600_SR600,400_.jpg",PLAYTEX 18 Hour Ultimate Lift and Support Wire-Free Bra,"This T-shirt soft wireless bra 2-pack is a Playtex® bestseller for so many reasons. It all starts with the fabric, Cool Comfort® stretch cotton that's as soft as your favorite tee and wicks moisture away to keep you cool and dry all day. These stretchy wirefree bras are designed with the Playtex® 4-",PLAYTEX Store,4.2,90355,$10.91,https://www.amazon.com/Playtex-Ultimate-Wire-Free-Coverage-4745/dp/B00551OP5A/ref=zg_bs_g_7147440011_d_sccl_16/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/61i0i-wvXLL._AC_UL600_SR600,400_.jpg",Amazon Essentials Women's Belice Slip On Ballet Flat,Amazon Essentials Women's Ballet Flat.,Amazon Essentials Store,4.3,80771,$22.79,https://www.amazon.com/Amazon-Essentials-Womens-Belice-Ballet/dp/B07PNY4T2V/ref=zg_bs_g_7147440011_d_sccl_9/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/81uehrFtU2L._AC_UL600_SR600,400_.jpg",Gloria Vanderbilt Women's Classic Tapered Amanda Jeans,"Gloria Vanderbilt's # 1 selling women's jean in America with over 60 million sold nationwide the Amanda Classic High Rise Tapered Jean. This pant sits at your natural waistline with five fully functional pockets, easy front zipper fly, standard size belt loops for your favorite belt and contoured hi",Gloria Vanderbilt Store,4.3,79978,$18.09,https://www.amazon.com/Gloria-Vanderbilt-Womens-Classic-Tapered/dp/B07S2J2G2P/ref=zg_bs_g_7147440011_d_sccl_12/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/51lx2I-TUdS._AC_UL600_SR600,400_.jpg","Amazon Essentials Women's Slim-Fit Tank Top, Pack of 2","Amazon Essentials women’s top: Versatile: Perfect for the spring and summer seasons. It pairs seamlessly with pants, jeans, casual trousers, denim shorts, leggings, skirts and more. Occasions: Suitable for home, work, office, travel, vacation, party, weekend gathering or casual daily wear.",Amazon Essentials Store,4.6,71833,$13.30,https://www.amazon.com/Amazon-Essentials-Womens-2-Pack-Slim-Fit/dp/B0775Q1K93/ref=zg_bs_g_7147440011_d_sccl_26/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/71Srgj0Jr5L._AC_UL600_SR600,400_.jpg","voenxe Seamless Women Underwear Thongs,No Show Ladies Thong,No Line Workout Breathable Comfortable Panties,Soft Undies,5-Pack","Global Recycled Standard (GRS) certified products contain recycled content that has been independently verified at each stage of the supply chain, from the source to the final product and meet social, environmental, and chemical requirements. The purchase of Global Recycled Standard (GRS) certified ",voenxe Store,4.6,70001,$13.99,https://www.amazon.com/VOENXE-Seamless-Thongs-Underwear-Basics/dp/B081VSYKL5/ref=zg_bs_g_7147440011_d_sccl_19/142-4859137-9579169?psc=1
