Category,Thumbnail,Title,Description,Brand,Stars,Reviews,Price,URL
Beauty,"https://images-na.ssl-images-amazon.com/images/I/51Kx4Wt+VqL._AC_UL600_SR600,400_.jpg",Mighty Patch™ Original patch from Hero Cosmetics – The #1 Hydrocolloid Acne Pimple Patch for Shrinking Zits and Whiteheads in,"THE #1 ACNE PATCH* IN THE GAME: The reason people keep coming back to the Mighty Patch Original patches? Because they work when it counts. *Based on unit sales, Circana total US Multi-Outlet, latest 52 weeks ending 05/04/2025.",Mighty Patch Store,4.6,178230,762.75,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_beauty_d_sccl_2/139-4840520-7513935?psc=1
Beauty,"https://images-na.ssl-images-amazon.com/images/I/612HeyYXOnL._AC_UL600_SR600,400_.jpg","Amazon Basics Cotton Swabs for Personal Hygiene and Baby Care, 500 Count, 1 Pack",Amazon Basics Cotton Swabs are double-tipped with 100% cotton making them soft yet strong enough for your beauty and skincare needs. Cotton tips are gentle enough for baby’s soft skin.,Amazon Basics Store,4.7,62545,163.24,https://www.amazon.com/Amazon-Basics-Cotton-Swabs-500ct/dp/B09541P9WH/ref=zg_bs_g_beauty_d_sccl_1/139-4840520-7513935?psc=1
Beauty,"https://images-na.ssl-images-amazon.com/images/I/51lP01--ejL._AC_UL600_SR600,400_.jpg","eos Shea Better Body Lotion Vanilla Cashmere, 24-Hour Moisture Skin Care, Lightweight & Non-Greasy, Natural Shea, Vegan, Vani",eos VANILLA CASHMERE BODY LOTION: Liberally apply eos lotion to just-cleaned skin - we'll do the rest. Pro tip: Layer this with your favorite fragrance for an enhanced experience,eos Store,4.7,50715,618.30,https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_beauty_d_sccl_4/139-4840520-7513935?psc=1
Beauty,"https://images-na.ssl-images-amazon.com/images/I/61581VJZ9EL._AC_UL600_SR600,400_.jpg","Clean Skin Club Clean Towels XL®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Make",1 pack of Clean Skin Club Clean Towels XL for a total of 50 face towels,CLEAN SKIN CLUB Store,4.8,40867,"1,053.99",https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_beauty_d_sccl_3/139-4840520-7513935?psc=1
Beauty,"https://images-na.ssl-images-amazon.com/images/I/71Mcspt-6AL._AC_UL600_SR600,400_.jpg","Medicube Zero Pore Pads 2.0, Dual-Textured Facial Toner Pads for Exfoliation and Pore Care with 4.5% AHA Lactic Acid & 0.45%","Exfoliates and Refines Pores - Perfect for those concerned about enlarged pores, seeking smoother skin, battling greasy skin from excess sebum",medicube Store,4.6,15008,"1,109.77",https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_beauty_d_sccl_5/139-4840520-7513935?psc=1
Home Kitchen,"https://images-na.ssl-images-amazon.com/images/I/71b8fh-dQ4L._AC_UL600_SR600,400_.jpg","Queen Size 4 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids & Teens",4 PIECE BED SHEET SET: 2 pillow cases and a flat sheet and fitted sheet. Flat Sheet (102”x 90”) Fitted Sheet (80”x 60”) 2 Pillow Cases (20” x 30”).,CGK Unlimited Store,4.4,408172,$24.99,https://www.amazon.com/Queen-Size-Piece-Sheet-Set/dp/B01M16WBW1/ref=zg_bs_g_home-garden_d_sccl_2/144-3732309-1191842?psc=1
Home Kitchen,"https://images-na.ssl-images-amazon.com/images/I/81Cn1+lUraL._AC_UL600_SR600,400_.jpg","Amazon Basics Slim, Velvet, Non-Slip Suit Clothes Hangers, Pack of 50, Black","INCLUDES: 50 suit clothes hangers in Black/Silver for keeping shirts, blazers, slacks, and more neatly hung and organized",Amazon Basics Store,4.8,218558,$19.99,https://www.amazon.com/Amazon-Basics-Non-Slip-Clothes-Hangers/dp/B00FXNAAW2/ref=zg_bs_g_home-garden_d_sccl_3/144-3732309-1191842?psc=1
Home Kitchen,"https://images-na.ssl-images-amazon.com/images/I/61sS-XIvEXL._AC_UL600_SR600,400_.jpg","Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Denim",24-ounce insulated stainless-steel water bottle with a FreeSip spout and push-button lid with lock,Owala Store,4.7,93380,$29.99,https://www.amazon.com/Owala-FreeSip-Insulated-Stainless-BPA-Free/dp/B0BZYCJK89/ref=zg_bs_g_home-garden_d_sccl_1/144-3732309-1191842?psc=1
Home Kitchen,"https://images-na.ssl-images-amazon.com/images/I/7136-eapqKL._AC_UL600_SR600,400_.jpg","Barossa Design Plastic Shower Liner Clear - Premium PEVA Shower Curtain Liner with Rustproof Grommets and 3 Magnets, Waterpro","OEKO-TEX® STANDARD 100 certified products require every component of a textiles production including all thread, buttons, and trims to be tested against a list of more than 1,000 regulated and unregulated chemicals which may be harmful to human health. The assessment process is globally standardised",Barossa Design Store,4.5,87135,$8.95,https://www.amazon.com/Plastic-Shower-Liner-Clear-Chemical/dp/B08QRFZ6TH/ref=zg_bs_g_home-garden_d_sccl_4/144-3732309-1191842?psc=1
Home Kitchen,"https://images-na.ssl-images-amazon.com/images/I/71LOYxu6SAL._AC_UL600_SR600,400_.jpg","upsimples 8x10 Picture Frame, Display Pictures 5x7 with Mat or 8x10 Without Mat, Wall Hanging Photo Frame, Black, 1 Pack","CLASSIC & DURABLE: With sturdy frame, high definition cover, safe packing, upsimples picture frame will protect your photo and give a clear view.",upsimples Store,4.5,31293,$5.99,https://www.amazon.com/upsimples-Picture-Display-Pictures-Without/dp/B0B1CNJL7N/ref=zg_bs_g_home-garden_d_sccl_5/144-3732309-1191842?psc=1
Pet Supplies,"https://images-na.ssl-images-amazon.com/images/I/71l4DqotI3L._AC_UL600_SR600,400_.jpg","Earth Rated Poop Bags for Dogs, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls, Lavender Scented, 270 Bags",DOG POOP BAGS: Our durable poop bags are a dog-walking essential. They are extremely portable and pair perfectly with the Earth Rated Poop Bag Dispenser for easy access while on the go.,Earth Rated Store,4.8,239364,$13.99,https://www.amazon.com/Earth-Rated-Lavender-Scented-Completely/dp/B00BSYR7K8/ref=zg_bs_g_pet-supplies_d_sccl_4/145-5749437-7454058?psc=1
Pet Supplies,"https://images-na.ssl-images-amazon.com/images/I/71LHksRF15L._AC_UL600_SR600,400_.jpg","Amazon Basics Dog and Puppy Pee Pads, 5-Layer Leak-Proof Super Absorbent, Quick-Dry Surface, Potty Training, Regular (22x22"")","FSC-certified PADS (FSC N004130). Made with materials from well-managed forests, recycled materials, and/or other controlled sources",Amazon Basics Store,4.5,222918,$18.08,https://www.amazon.com/Amazon-Basics-Leak-Proof-Quick-Dry-Absorbency/dp/B00MW8G62E/ref=zg_bs_g_pet-supplies_d_sccl_1/145-5749437-7454058?psc=1
